Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.6;1.6;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.45;0.45;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;0.825;0.825;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.2;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.05;1.05;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.3;0.3;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.775;1.775;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.45;0.45;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.25;1.25;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.375;0.375;mg-m3;96.0;100;96.0;R;1;48.859001;2.351
2014/11/06 00:00:00;2014/11/06 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.725;1.725;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/06 00:00:00;2014/11/06 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.6;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/07 00:00:00;2014/11/07 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.4;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/07 00:00:00;2014/11/07 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.2;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/08 00:00:00;2014/11/08 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.15;1.15;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/08 00:00:00;2014/11/08 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.4;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/09 00:00:00;2014/11/09 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.175;1.175;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/09 00:00:00;2014/11/09 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.425;0.425;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/10 00:00:00;2014/11/10 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.475;1.475;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/10 00:00:00;2014/11/10 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.425;0.425;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/11 00:00:00;2014/11/11 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.7;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/11 00:00:00;2014/11/11 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.625;0.625;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/12 00:00:00;2014/11/12 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.825;1.825;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/12 00:00:00;2014/11/12 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.6;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/13 00:00:00;2014/11/13 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.5;1.5;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/13 00:00:00;2014/11/13 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.375;0.375;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/14 00:00:00;2014/11/14 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.75;1.75;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/14 00:00:00;2014/11/14 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.45;0.45;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/15 00:00:00;2014/11/15 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.3;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/15 00:00:00;2014/11/15 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.4;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/16 00:00:00;2014/11/16 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.05;1.05;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/16 00:00:00;2014/11/16 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.375;0.375;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
