Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.3;41.25;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.5;45.5;µg-m3;100.0;100;100.0;R;1;48.82861;2.360278
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;40.5;40.5;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.3;55.25;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.5;55.5;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.0;54.0;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.0;58.0;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.0;58.0;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.3;58.25;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.8;55.75;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;52.5;52.5;µg-m3;100.0;100;100.0;R;1;48.82861;2.360278
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.8;53.75;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.5;38.5;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.5;41.5;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.8;38.75;µg-m3;96.0;100;96.0;R;1;48.859001;2.351
