Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;30.0;30.025;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/01 00:00:00;2014/11/01 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;33.6;33.575;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.9;14.925;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/02 00:00:00;2014/11/02 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;25.2;25.15;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;10.6;10.575;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/03 00:00:00;2014/11/03 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;17.3;17.325;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;19.2;19.225;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/04 00:00:00;2014/11/04 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;32.6;32.6;µg-m3;96.0;100;96.0;R;1;48.838615;2.412781
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;18.5;18.475;µg-m3;88.0;100;88.0;A;1;48.859001;2.351
2014/11/05 00:00:00;2014/11/05 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;22.6;22.55;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/06 00:00:00;2014/11/06 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.8;21.775;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/06 00:00:00;2014/11/06 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;50.8;50.775;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/07 00:00:00;2014/11/07 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;10.6;10.625;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/07 00:00:00;2014/11/07 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;24.7;24.725;µg-m3;88.0;100;88.0;R;1;48.838615;2.412781
2014/11/08 00:00:00;2014/11/08 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.0;15.025;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/08 00:00:00;2014/11/08 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;33.4;33.4;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/09 00:00:00;2014/11/09 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.7;15.725;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/09 00:00:00;2014/11/09 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;26.9;26.9;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/10 00:00:00;2014/11/10 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;19.3;19.325;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
